,Method,r2,r,Ligand,Missingness
0,impute_missing_ms,-0.49326344693254764,0.5295087515974022,IgG1,0.01
1,impute_missing_ms,-0.04650527193783649,0.5090640982362357,IgG1,0.01
2,impute_missing_ms,0.7893225368993573,0.893508285253054,IgG3,0.01
3,impute_missing_ms,0.7282405097514464,0.8558304554528063,IgG3,0.01
4,impute_missing_ms,0.5170717494586734,0.8936493238876885,FcR2A,0.01
5,impute_missing_ms,0.8007653149213101,0.9828544279114975,FcR2A,0.01
6,impute_missing_ms,0.6630698180575599,0.9426676190811135,FcR2B,0.01
7,impute_missing_ms,0.5895722250084412,0.9373976735228428,FcR2B,0.01
8,impute_missing_ms,0.7468820589267138,0.9779006707240225,FcR3A,0.01
9,impute_missing_ms,0.7240706898705168,0.9475229988753022,FcR3A,0.01
10,impute_missing_ms,0.732185933816969,0.9436083746187978,FcR3B,0.01
11,impute_missing_ms,0.7527778132981829,0.9623800324992053,FcR3B,0.01
12,impute_missing_ms,-0.5567314511858636,0.5321592175896679,IgG1,0.1
13,impute_missing_ms,-0.3783507712988996,0.5878072349717249,IgG1,0.1
14,impute_missing_ms,0.7191419621273398,0.8485057751821583,IgG3,0.1
15,impute_missing_ms,0.7335478337707344,0.8566872859240816,IgG3,0.1
16,impute_missing_ms,0.6395829978578698,0.9317476161475087,FcR2A,0.1
17,impute_missing_ms,0.6688771154915529,0.9485520917647052,FcR2A,0.1
18,impute_missing_ms,0.5661739084830297,0.9376938561182955,FcR2B,0.1
19,impute_missing_ms,0.5851037384031998,0.92513240456098,FcR2B,0.1
20,impute_missing_ms,0.6267422398431423,0.8796586663419453,FcR3A,0.1
21,impute_missing_ms,0.672969882448143,0.8889838982447008,FcR3A,0.1
22,impute_missing_ms,0.7244071282915344,0.9411890282577667,FcR3B,0.1
23,impute_missing_ms,0.7226486267352015,0.9566609161384588,FcR3B,0.1
24,impute_missing_ms,-0.4251525489317196,0.5253248082503128,IgG1,0.2
25,impute_missing_ms,-0.1744276999367571,0.5649973980814967,IgG1,0.2
26,impute_missing_ms,0.7257063936110774,0.8526840106847726,IgG3,0.2
27,impute_missing_ms,0.7492682218470861,0.8680280133676923,IgG3,0.2
28,impute_missing_ms,0.594821055460361,0.9216831046478539,FcR2A,0.2
29,impute_missing_ms,0.5921796332472682,0.9231540858535435,FcR2A,0.2
30,impute_missing_ms,0.5511682024981803,0.928143546640281,FcR2B,0.2
31,impute_missing_ms,0.5168444276882292,0.9205494525787147,FcR2B,0.2
32,impute_missing_ms,0.6519203965090914,0.875219499138687,FcR3A,0.2
33,impute_missing_ms,0.6668030286853674,0.8944390900441211,FcR3A,0.2
34,impute_missing_ms,0.722222471148807,0.9477998644769451,FcR3B,0.2
35,impute_missing_ms,0.7529935967435948,0.9529015398595116,FcR3B,0.2
36,impute_missing_ms,-0.528260946055066,0.5069055215898821,IgG1,0.3
37,impute_missing_ms,-0.30643916844967567,0.512734747826155,IgG1,0.3
38,impute_missing_ms,0.7409812748301392,0.8618579258260448,IgG3,0.3
39,impute_missing_ms,0.7351307670974431,0.8586203834029493,IgG3,0.3
40,impute_missing_ms,0.5481086526909237,0.9176353668354972,FcR2A,0.3
41,impute_missing_ms,0.5823584030009348,0.9213064868536824,FcR2A,0.3
42,impute_missing_ms,0.5536541187531252,0.921984319175841,FcR2B,0.3
43,impute_missing_ms,0.5346420103862191,0.9247889027904919,FcR2B,0.3
44,impute_missing_ms,0.6706407442212798,0.8935804544193925,FcR3A,0.3
45,impute_missing_ms,0.6776052755027627,0.9020308254834423,FcR3A,0.3
46,impute_missing_ms,0.7039633780536974,0.9382762797908981,FcR3B,0.3
47,impute_missing_ms,0.7025055887219593,0.9443451640093481,FcR3B,0.3
48,impute_missing_ms,-0.046007402457706625,0.4825186269191987,IgG1,0.4
49,impute_missing_ms,-0.3794356078776484,0.5317437872540538,IgG1,0.4
50,impute_missing_ms,0.7352888766822976,0.8582461093804465,IgG3,0.4
51,impute_missing_ms,0.7393822246716379,0.8600165553664609,IgG3,0.4
52,impute_missing_ms,0.590093142453846,0.9243524547613298,FcR2A,0.4
53,impute_missing_ms,0.5528229793497355,0.9151763136588517,FcR2A,0.4
54,impute_missing_ms,0.548154035009936,0.9313020873634275,FcR2B,0.4
55,impute_missing_ms,0.541078618818883,0.929061477071566,FcR2B,0.4
56,impute_missing_ms,0.661808117844696,0.8851456147370642,FcR3A,0.4
57,impute_missing_ms,0.6571226304814888,0.8797031713125192,FcR3A,0.4
58,impute_missing_ms,0.7141439849805893,0.9436027342969766,FcR3B,0.4
59,impute_missing_ms,0.7325991208306046,0.9488315502193011,FcR3B,0.4
60,impute_missing_ms,-0.6078745264831364,0.5593055040614737,IgG1,0.5
61,impute_missing_ms,-0.44600489824582734,0.5115665902289798,IgG1,0.5
62,impute_missing_ms,0.7112190200781001,0.8436092180547032,IgG3,0.5
63,impute_missing_ms,0.7264222230329991,0.8530076582919475,IgG3,0.5
64,impute_missing_ms,0.5615991677556923,0.9235558807596896,FcR2A,0.5
65,impute_missing_ms,0.5668081891278396,0.9215701447293669,FcR2A,0.5
66,impute_missing_ms,0.5194137573633335,0.9248568170567678,FcR2B,0.5
67,impute_missing_ms,0.5443276760335396,0.9342906686120896,FcR2B,0.5
68,impute_missing_ms,0.6514506088777081,0.8793160008446984,FcR3A,0.5
69,impute_missing_ms,0.6793356141606747,0.9003255214344412,FcR3A,0.5
70,impute_missing_ms,0.7219633547316562,0.9432422887197872,FcR3B,0.5
71,impute_missing_ms,0.7185302816423912,0.9405493138523041,FcR3B,0.5
72,impute_missing_ms,-0.3567556999358543,0.535111593784207,IgG1,0.6
73,impute_missing_ms,-0.20631527628619994,0.48171013329340623,IgG1,0.6
74,impute_missing_ms,0.7290496358360001,0.8542829062828728,IgG3,0.6
75,impute_missing_ms,0.7121415777683764,0.8446045743154731,IgG3,0.6
76,impute_missing_ms,0.5502943222809246,0.9182987472401393,FcR2A,0.6
77,impute_missing_ms,0.549866367291202,0.9196059224499579,FcR2A,0.6
78,impute_missing_ms,0.5162876121542543,0.9282735187878999,FcR2B,0.6
79,impute_missing_ms,0.5121097548744484,0.9293127735792308,FcR2B,0.6
80,impute_missing_ms,0.6807510412044897,0.9017917987530608,FcR3A,0.6
81,impute_missing_ms,0.6563417393296509,0.8790861097769002,FcR3A,0.6
82,impute_missing_ms,0.7142614584082208,0.9414669384787354,FcR3B,0.6
83,impute_missing_ms,0.7289698232487889,0.9485440772019189,FcR3B,0.6
84,impute_missing_ms,-0.26242394250302237,0.505447999692826,IgG1,0.7
85,impute_missing_ms,-0.2863263859544838,0.5027419811650234,IgG1,0.7
86,impute_missing_ms,0.733644106962225,0.8573378030393761,IgG3,0.7
87,impute_missing_ms,0.7331738392678073,0.8577438475134259,IgG3,0.7
88,impute_missing_ms,0.53842748591814,0.9190465319670817,FcR2A,0.7
89,impute_missing_ms,0.5468330660146226,0.9212752456432693,FcR2A,0.7
90,impute_missing_ms,0.5127037404657688,0.9302266271726021,FcR2B,0.7
91,impute_missing_ms,0.4988475795660736,0.9312405517624468,FcR2B,0.7
92,impute_missing_ms,0.6660399384952658,0.886742291676764,FcR3A,0.7
93,impute_missing_ms,0.6615663094998607,0.8858885458768446,FcR3A,0.7
94,impute_missing_ms,0.713772674860399,0.9436754170764747,FcR3B,0.7
95,impute_missing_ms,0.7078290553886057,0.9448933034922985,FcR3B,0.7
96,impute_missing_ms,-0.2154777114237718,0.5372520570657995,IgG1,0.8
97,impute_missing_ms,-0.5411926964619498,0.5122278335518845,IgG1,0.8
98,impute_missing_ms,0.7140706768539037,0.8455154779767894,IgG3,0.8
99,impute_missing_ms,0.7226239202477693,0.8527178327720052,IgG3,0.8
100,impute_missing_ms,0.5206748773696831,0.9164004612868667,FcR2A,0.8
101,impute_missing_ms,0.5358111808862382,0.9222228378412336,FcR2A,0.8
102,impute_missing_ms,0.48065049844517727,0.9262436881175288,FcR2B,0.8
103,impute_missing_ms,0.4794401401270548,0.9287570722244233,FcR2B,0.8
104,impute_missing_ms,0.6700499444343561,0.8932388583501527,FcR3A,0.8
105,impute_missing_ms,0.6737478390138811,0.8966577018052209,FcR3A,0.8
106,impute_missing_ms,0.7173017101689104,0.9479709653884463,FcR3B,0.8
107,impute_missing_ms,0.7119995888502353,0.9451150358964767,FcR3B,0.8
108,impute_missing_ms,-0.027343644501037545,0.47441878831875384,IgG1,0.9
109,impute_missing_ms,-0.16560321728291671,0.46562057944940727,IgG1,0.9
